# Antenna Pattern Export
# Generated by Antenna Studio
# Format Version,2

## Antenna Properties
Name,ACME AP72I
Mounting Type,ceiling
Formfactor,Squircle
Logo Position,center

## Radio: 2.4 GHz
Min Gain,-20
Max Gain,10

### Azimuth (XY Plane)
Angle,Gain(dBi)
0,6.85
1,7.01
2,7.14
3,7.23
4,7.30
5,7.33
6,7.34
7,7.32
8,7.28
9,7.22
10,7.15
11,7.06
12,6.95
13,6.83
14,6.71
15,6.57
16,6.43
17,6.29
18,6.15
19,6.01
20,5.88
21,5.75
22,5.62
23,5.51
24,5.41
25,5.33
26,5.26
27,5.20
28,5.17
29,5.16
30,5.18
31,5.22
32,5.28
33,5.36
34,5.46
35,5.56
36,5.67
37,5.77
38,5.87
39,5.96
40,6.04
41,6.09
42,6.12
43,6.12
44,6.09
45,6.03
46,5.92
47,5.77
48,5.60
49,5.39
50,5.17
51,4.93
52,4.68
53,4.43
54,4.17
55,3.92
56,3.68
57,3.46
58,3.26
59,3.09
60,2.95
61,2.85
62,2.78
63,2.75
64,2.74
65,2.76
66,2.81
67,2.89
68,2.98
69,3.09
70,3.22
71,3.36
72,3.52
73,3.68
74,3.85
75,4.02
76,4.20
77,4.37
78,4.55
79,4.71
80,4.87
81,5.02
82,5.15
83,5.27
84,5.37
85,5.44
86,5.50
87,5.53
88,5.53
89,5.50
90,5.44
91,5.34
92,5.22
93,5.07
94,4.90
95,4.72
96,4.54
97,4.37
98,4.20
99,4.04
100,3.91
101,3.81
102,3.74
103,3.71
104,3.73
105,3.80
106,3.93
107,4.11
108,4.34
109,4.60
110,4.89
111,5.20
112,5.52
113,5.85
114,6.17
115,6.48
116,6.77
117,7.03
118,7.26
119,7.44
120,7.57
121,7.65
122,7.67
123,7.64
124,7.57
125,7.47
126,7.34
127,7.19
128,7.02
129,6.84
130,6.65
131,6.47
132,6.30
133,6.14
134,6.00
135,5.89
136,5.81
137,5.76
138,5.74
139,5.75
140,5.78
141,5.82
142,5.89
143,5.97
144,6.07
145,6.17
146,6.28
147,6.40
148,6.52
149,6.64
150,6.76
151,6.87
152,6.98
153,7.08
154,7.17
155,7.26
156,7.34
157,7.41
158,7.47
159,7.52
160,7.56
161,7.60
162,7.62
163,7.62
164,7.62
165,7.60
166,7.57
167,7.53
168,7.48
169,7.42
170,7.35
171,7.28
172,7.21
173,7.13
174,7.06
175,6.99
176,6.93
177,6.87
178,6.82
179,6.78
180,6.75
181,6.74
182,6.73
183,6.74
184,6.75
185,6.77
186,6.79
187,6.80
188,6.81
189,6.82
190,6.82
191,6.80
192,6.77
193,6.73
194,6.67
195,6.58
196,6.47
197,6.34
198,6.20
199,6.05
200,5.89
201,5.73
202,5.57
203,5.42
204,5.28
205,5.16
206,5.07
207,5.00
208,4.95
209,4.95
210,4.98
211,5.06
212,5.18
213,5.32
214,5.49
215,5.68
216,5.87
217,6.07
218,6.26
219,6.43
220,6.59
221,6.72
222,6.82
223,6.88
224,6.89
225,6.84
226,6.73
227,6.57
228,6.37
229,6.14
230,5.87
231,5.60
232,5.32
233,5.04
234,4.77
235,4.53
236,4.32
237,4.15
238,4.03
239,3.98
240,3.99
241,4.08
242,4.24
243,4.45
244,4.71
245,5.00
246,5.32
247,5.65
248,5.98
249,6.30
250,6.60
251,6.86
252,7.08
253,7.24
254,7.34
255,7.35
256,7.29
257,7.14
258,6.93
259,6.67
260,6.37
261,6.04
262,5.69
263,5.34
264,5.00
265,4.68
266,4.40
267,4.16
268,3.98
269,3.88
270,3.85
271,3.92
272,4.07
273,4.29
274,4.57
275,4.90
276,5.25
277,5.63
278,6.01
279,6.38
280,6.74
281,7.06
282,7.34
283,7.57
284,7.72
285,7.79
286,7.77
287,7.66
288,7.48
289,7.24
290,6.94
291,6.61
292,6.24
293,5.86
294,5.46
295,5.07
296,4.70
297,4.35
298,4.03
299,3.76
300,3.55
301,3.40
302,3.32
303,3.30
304,3.33
305,3.41
306,3.53
307,3.70
308,3.89
309,4.12
310,4.37
311,4.65
312,4.93
313,5.23
314,5.53
315,5.84
316,6.13
317,6.43
318,6.71
319,6.97
320,7.22
321,7.44
322,7.64
323,7.81
324,7.95
325,8.05
326,8.11
327,8.13
328,8.11
329,8.03
330,7.90
331,7.72
332,7.49
333,7.22
334,6.91
335,6.59
336,6.25
337,5.90
338,5.56
339,5.22
340,4.91
341,4.62
342,4.37
343,4.17
344,4.01
345,3.92
346,3.90
347,3.93
348,4.02
349,4.17
350,4.35
351,4.56
352,4.80
353,5.07
354,5.34
355,5.62
356,5.90
357,6.17
358,6.42
359,6.65

### Elevation XZ Plane
Angle,Gain(dBi)
0,7.39
1,7.31
2,7.21
3,7.09
4,6.96
5,6.83
6,6.69
7,6.54
8,6.41
9,6.27
10,6.15
11,6.04
12,5.95
13,5.87
14,5.82
15,5.80
16,5.81
17,5.84
18,5.90
19,5.98
20,6.07
21,6.17
22,6.28
23,6.39
24,6.49
25,6.60
26,6.69
27,6.76
28,6.82
29,6.86
30,6.86
31,6.84
32,6.79
33,6.72
34,6.63
35,6.53
36,6.43
37,6.31
38,6.20
39,6.10
40,6.00
41,5.92
42,5.86
43,5.82
44,5.81
45,5.84
46,5.90
47,5.99
48,6.11
49,6.25
50,6.41
51,6.59
52,6.77
53,6.95
54,7.13
55,7.31
56,7.47
57,7.62
58,7.74
59,7.84
60,7.90
61,7.93
62,7.93
63,7.90
64,7.85
65,7.78
66,7.69
67,7.60
68,7.51
69,7.41
70,7.32
71,7.25
72,7.18
73,7.14
74,7.12
75,7.13
76,7.18
77,7.25
78,7.34
79,7.44
80,7.54
81,7.63
82,7.71
83,7.77
84,7.79
85,7.78
86,7.72
87,7.60
88,7.43
89,7.18
90,6.85
91,6.43
92,5.94
93,5.38
94,4.76
95,4.10
96,3.39
97,2.66
98,1.91
99,1.15
100,0.39
101,-0.36
102,-1.09
103,-1.78
104,-2.44
105,-3.05
106,-3.60
107,-4.09
108,-4.52
109,-4.90
110,-5.24
111,-5.52
112,-5.76
113,-5.95
114,-6.10
115,-6.22
116,-6.30
117,-6.34
118,-6.36
119,-6.34
120,-6.30
121,-6.24
122,-6.16
123,-6.06
124,-5.96
125,-5.87
126,-5.78
127,-5.71
128,-5.66
129,-5.63
130,-5.64
131,-5.70
132,-5.79
133,-5.95
134,-6.16
135,-6.44
136,-6.79
137,-7.20
138,-7.67
139,-8.18
140,-8.73
141,-9.30
142,-9.89
143,-10.48
144,-11.07
145,-11.65
146,-12.21
147,-12.73
148,-13.22
149,-13.65
150,-14.03
151,-14.34
152,-14.58
153,-14.77
154,-14.91
155,-15.01
156,-15.07
157,-15.10
158,-15.11
159,-15.10
160,-15.08
161,-15.07
162,-15.05
163,-15.05
164,-15.07
165,-15.11
166,-15.17
167,-15.27
168,-15.39
169,-15.52
170,-15.66
171,-15.81
172,-15.97
173,-16.11
174,-16.25
175,-16.38
176,-16.49
177,-16.57
178,-16.63
179,-16.65
180,-16.63
181,-16.57
182,-16.48
183,-16.35
184,-16.19
185,-16.01
186,-15.81
187,-15.60
188,-15.39
189,-15.17
190,-14.96
191,-14.76
192,-14.57
193,-14.41
194,-14.27
195,-14.16
196,-14.08
197,-14.04
198,-14.01
199,-14.00
200,-14.00
201,-14.01
202,-14.00
203,-13.99
204,-13.95
205,-13.89
206,-13.79
207,-13.66
208,-13.48
209,-13.24
210,-12.94
211,-12.58
212,-12.16
213,-11.68
214,-11.17
215,-10.63
216,-10.06
217,-9.48
218,-8.89
219,-8.31
220,-7.75
221,-7.20
222,-6.69
223,-6.22
224,-5.79
225,-5.43
226,-5.13
227,-4.89
228,-4.70
229,-4.55
230,-4.44
231,-4.35
232,-4.28
233,-4.22
234,-4.15
235,-4.08
236,-3.99
237,-3.87
238,-3.71
239,-3.52
240,-3.27
241,-2.96
242,-2.60
243,-2.19
244,-1.75
245,-1.27
246,-0.77
247,-0.24
248,0.29
249,0.83
250,1.36
251,1.89
252,2.39
253,2.87
254,3.33
255,3.74
256,4.11
257,4.43
258,4.72
259,4.98
260,5.20
261,5.41
262,5.59
263,5.75
264,5.90
265,6.04
266,6.18
267,6.31
268,6.45
269,6.59
270,6.75
271,6.92
272,7.11
273,7.30
274,7.50
275,7.70
276,7.90
277,8.10
278,8.29
279,8.47
280,8.64
281,8.79
282,8.93
283,9.04
284,9.13
285,9.19
286,9.22
287,9.22
288,9.19
289,9.14
290,9.07
291,8.98
292,8.87
293,8.75
294,8.62
295,8.48
296,8.34
297,8.19
298,8.04
299,7.90
300,7.75
301,7.62
302,7.49
303,7.37
304,7.26
305,7.16
306,7.07
307,6.99
308,6.93
309,6.87
310,6.83
311,6.80
312,6.79
313,6.79
314,6.81
315,6.84
316,6.89
317,6.96
318,7.03
319,7.12
320,7.21
321,7.31
322,7.41
